thres	recall	precision	correct	recognized	all
thres:0.624383	0.000756	1.000000	correct:6.000000	recognized:6.000000	all:7936.000000
thres:0.626112	0.000756	1.000000	correct:6.000000	recognized:6.000000	all:7936.000000
thres:0.627842	0.000756	1.000000	correct:6.000000	recognized:6.000000	all:7936.000000
thres:0.629571	0.000756	1.000000	correct:6.000000	recognized:6.000000	all:7936.000000
thres:0.631301	0.000756	1.000000	correct:6.000000	recognized:6.000000	all:7936.000000
thres:0.633031	0.000756	1.000000	correct:6.000000	recognized:6.000000	all:7936.000000
thres:0.634760	0.000756	1.000000	correct:6.000000	recognized:6.000000	all:7936.000000
thres:0.636490	0.000756	1.000000	correct:6.000000	recognized:6.000000	all:7936.000000
thres:0.638219	0.000756	1.000000	correct:6.000000	recognized:6.000000	all:7936.000000
thres:0.639949	0.000756	1.000000	correct:6.000000	recognized:6.000000	all:7936.000000
thres:0.641678	0.000630	1.000000	correct:5.000000	recognized:5.000000	all:7936.000000
thres:0.643408	0.000630	1.000000	correct:5.000000	recognized:5.000000	all:7936.000000
thres:0.645138	0.000630	1.000000	correct:5.000000	recognized:5.000000	all:7936.000000
thres:0.646867	0.000630	1.000000	correct:5.000000	recognized:5.000000	all:7936.000000
thres:0.648597	0.000630	1.000000	correct:5.000000	recognized:5.000000	all:7936.000000
thres:0.650326	0.000630	1.000000	correct:5.000000	recognized:5.000000	all:7936.000000
thres:0.652056	0.000630	1.000000	correct:5.000000	recognized:5.000000	all:7936.000000
thres:0.653786	0.000630	1.000000	correct:5.000000	recognized:5.000000	all:7936.000000
thres:0.655515	0.000630	1.000000	correct:5.000000	recognized:5.000000	all:7936.000000
thres:0.657245	0.000630	1.000000	correct:5.000000	recognized:5.000000	all:7936.000000
thres:0.658974	0.000630	1.000000	correct:5.000000	recognized:5.000000	all:7936.000000
thres:0.660704	0.000504	1.000000	correct:4.000000	recognized:4.000000	all:7936.000000
thres:0.662434	0.000378	1.000000	correct:3.000000	recognized:3.000000	all:7936.000000
thres:0.664163	0.000378	1.000000	correct:3.000000	recognized:3.000000	all:7936.000000
thres:0.665893	0.000378	1.000000	correct:3.000000	recognized:3.000000	all:7936.000000
thres:0.667622	0.000378	1.000000	correct:3.000000	recognized:3.000000	all:7936.000000
thres:0.669352	0.000378	1.000000	correct:3.000000	recognized:3.000000	all:7936.000000
thres:0.671082	0.000378	1.000000	correct:3.000000	recognized:3.000000	all:7936.000000
thres:0.672811	0.000378	1.000000	correct:3.000000	recognized:3.000000	all:7936.000000
thres:0.674541	0.000378	1.000000	correct:3.000000	recognized:3.000000	all:7936.000000
thres:0.676270	0.000378	1.000000	correct:3.000000	recognized:3.000000	all:7936.000000
thres:0.678000	0.000378	1.000000	correct:3.000000	recognized:3.000000	all:7936.000000
thres:0.679729	0.000378	1.000000	correct:3.000000	recognized:3.000000	all:7936.000000
thres:0.681459	0.000378	1.000000	correct:3.000000	recognized:3.000000	all:7936.000000
thres:0.683189	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.684918	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.686648	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.688377	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.690107	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.691837	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.693566	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.695296	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.697025	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.698755	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.700485	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.702214	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.703944	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.705673	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.707403	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.709133	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.710862	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.712592	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.714321	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.716051	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.717781	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.719510	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.721240	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.722969	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.724699	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.726428	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.728158	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.729888	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.731617	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.733347	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.735076	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.736806	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.738536	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.740265	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.741995	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.743724	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.745454	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.747184	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.748913	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.750643	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.752372	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.754102	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.755832	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.757561	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.759291	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.761020	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.762750	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.764479	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.766209	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.767939	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.769668	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.771398	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.773127	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.774857	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.776587	0.000252	1.000000	correct:2.000000	recognized:2.000000	all:7936.000000
thres:0.778316	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.780046	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.781775	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.783505	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.785235	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.786964	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.788694	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.790423	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.792153	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.793883	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.795612	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.797342	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.799071	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.800801	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.802531	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.804260	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.805990	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.807719	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.809449	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.811178	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.812908	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.814638	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.816367	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.818097	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.819826	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.821556	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:0.823286	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
