thres	recall	precision	correct	recognized	all
thres:4.217493	0.002772	0.611111	correct:22.000000	recognized:36.000000	all:7936.000000
thres:4.228225	0.002646	0.600000	correct:21.000000	recognized:35.000000	all:7936.000000
thres:4.238956	0.002520	0.588235	correct:20.000000	recognized:34.000000	all:7936.000000
thres:4.249688	0.002520	0.588235	correct:20.000000	recognized:34.000000	all:7936.000000
thres:4.260419	0.002520	0.588235	correct:20.000000	recognized:34.000000	all:7936.000000
thres:4.271151	0.001512	0.545455	correct:12.000000	recognized:22.000000	all:7936.000000
thres:4.281882	0.001512	0.600000	correct:12.000000	recognized:20.000000	all:7936.000000
thres:4.292614	0.001512	0.600000	correct:12.000000	recognized:20.000000	all:7936.000000
thres:4.303345	0.001386	0.578947	correct:11.000000	recognized:19.000000	all:7936.000000
thres:4.314077	0.001386	0.578947	correct:11.000000	recognized:19.000000	all:7936.000000
thres:4.324808	0.001386	0.578947	correct:11.000000	recognized:19.000000	all:7936.000000
thres:4.335540	0.001260	0.555556	correct:10.000000	recognized:18.000000	all:7936.000000
thres:4.346271	0.001260	0.555556	correct:10.000000	recognized:18.000000	all:7936.000000
thres:4.357003	0.001260	0.555556	correct:10.000000	recognized:18.000000	all:7936.000000
thres:4.367734	0.001260	0.555556	correct:10.000000	recognized:18.000000	all:7936.000000
thres:4.378466	0.001260	0.588235	correct:10.000000	recognized:17.000000	all:7936.000000
thres:4.389198	0.001260	0.625000	correct:10.000000	recognized:16.000000	all:7936.000000
thres:4.399929	0.001260	0.625000	correct:10.000000	recognized:16.000000	all:7936.000000
thres:4.410661	0.001260	0.625000	correct:10.000000	recognized:16.000000	all:7936.000000
thres:4.421392	0.001260	0.625000	correct:10.000000	recognized:16.000000	all:7936.000000
thres:4.432124	0.001260	0.625000	correct:10.000000	recognized:16.000000	all:7936.000000
thres:4.442855	0.001260	0.625000	correct:10.000000	recognized:16.000000	all:7936.000000
thres:4.453587	0.001260	0.625000	correct:10.000000	recognized:16.000000	all:7936.000000
thres:4.464318	0.001260	0.625000	correct:10.000000	recognized:16.000000	all:7936.000000
thres:4.475050	0.001260	0.625000	correct:10.000000	recognized:16.000000	all:7936.000000
thres:4.485781	0.001260	0.625000	correct:10.000000	recognized:16.000000	all:7936.000000
thres:4.496513	0.001260	0.625000	correct:10.000000	recognized:16.000000	all:7936.000000
thres:4.507244	0.001260	0.625000	correct:10.000000	recognized:16.000000	all:7936.000000
thres:4.517976	0.000756	0.600000	correct:6.000000	recognized:10.000000	all:7936.000000
thres:4.528707	0.000756	0.600000	correct:6.000000	recognized:10.000000	all:7936.000000
thres:4.539439	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.550171	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.560902	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.571634	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.582365	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.593097	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.603828	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.614560	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.625291	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.636023	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.646754	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.657486	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.668217	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.678949	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.689681	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.700412	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.711144	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.721875	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.732607	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.743338	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.754070	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.764801	0.000630	0.625000	correct:5.000000	recognized:8.000000	all:7936.000000
thres:4.775533	0.000504	0.571429	correct:4.000000	recognized:7.000000	all:7936.000000
thres:4.786264	0.000504	0.571429	correct:4.000000	recognized:7.000000	all:7936.000000
thres:4.796996	0.000504	0.571429	correct:4.000000	recognized:7.000000	all:7936.000000
thres:4.807727	0.000504	0.571429	correct:4.000000	recognized:7.000000	all:7936.000000
thres:4.818459	0.000504	0.571429	correct:4.000000	recognized:7.000000	all:7936.000000
thres:4.829190	0.000504	0.666667	correct:4.000000	recognized:6.000000	all:7936.000000
thres:4.839922	0.000504	0.666667	correct:4.000000	recognized:6.000000	all:7936.000000
thres:4.850654	0.000504	0.666667	correct:4.000000	recognized:6.000000	all:7936.000000
thres:4.861385	0.000504	0.666667	correct:4.000000	recognized:6.000000	all:7936.000000
thres:4.872117	0.000504	0.666667	correct:4.000000	recognized:6.000000	all:7936.000000
thres:4.882848	0.000504	0.666667	correct:4.000000	recognized:6.000000	all:7936.000000
thres:4.893580	0.000504	0.666667	correct:4.000000	recognized:6.000000	all:7936.000000
thres:4.904311	0.000504	0.666667	correct:4.000000	recognized:6.000000	all:7936.000000
thres:4.915043	0.000504	0.666667	correct:4.000000	recognized:6.000000	all:7936.000000
thres:4.925774	0.000504	0.666667	correct:4.000000	recognized:6.000000	all:7936.000000
thres:4.936506	0.000504	0.800000	correct:4.000000	recognized:5.000000	all:7936.000000
thres:4.947237	0.000504	0.800000	correct:4.000000	recognized:5.000000	all:7936.000000
thres:4.957969	0.000504	0.800000	correct:4.000000	recognized:5.000000	all:7936.000000
