thres	recall	precision	correct	recognized	all
thres:4.658754	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.669247	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.679740	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.690232	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.700725	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.711218	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.721710	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.732203	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.742696	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.753188	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.763681	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.774174	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.784667	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.795159	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.805652	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.816145	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.826637	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.837130	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.847623	0.000378	0.600000	correct:3.000000	recognized:5.000000	all:7936.000000
thres:4.858115	0.000378	0.750000	correct:3.000000	recognized:4.000000	all:7936.000000
thres:4.868608	0.000378	0.750000	correct:3.000000	recognized:4.000000	all:7936.000000
thres:4.879101	0.000378	0.750000	correct:3.000000	recognized:4.000000	all:7936.000000
thres:4.889593	0.000378	0.750000	correct:3.000000	recognized:4.000000	all:7936.000000
thres:4.900086	0.000378	0.750000	correct:3.000000	recognized:4.000000	all:7936.000000
thres:4.910579	0.000378	0.750000	correct:3.000000	recognized:4.000000	all:7936.000000
thres:4.921072	0.000378	0.750000	correct:3.000000	recognized:4.000000	all:7936.000000
thres:4.931564	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:4.942057	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:4.952550	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:4.963042	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:4.973535	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:4.984028	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:4.994520	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.005013	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.015506	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.025998	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.036491	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.046984	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.057476	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.067969	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.078462	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.088955	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.099447	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.109940	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.120433	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.130925	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.141418	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.151911	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.162403	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.172896	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.183389	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.193881	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.204374	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.214867	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.225360	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
thres:5.235852	0.000126	1.000000	correct:1.000000	recognized:1.000000	all:7936.000000
